company,year,LPS_finbert,OPS,zLPS,zOPS,GDS
ABB India,FY2022-23,0.042811,0.783182,0.144983,1.234276,-1.089293
ABB India,FY2023-24,0.045177,0.690851,0.090058,1.122017,-1.031959
ACC,FY2022-23,0.021929,-1.136838,-0.553504,-1.948837,1.395333
ACC,FY2023-24,0.025669,-0.717842,-0.535897,-1.342615,0.806718
Adani Enterprises,FY2022-23,0.038251,-0.305997,-0.007542,-0.571424,0.563882
Adani Enterprises,FY2023-24,0.071994,-0.347954,0.950567,-0.695464,1.646032
Adani Green,FY2022-23,0.016154,0.862798,-0.746673,1.366267,-2.112939
Adani Green,FY2023-24,0.02991,0.508874,-0.39982,0.803632,-1.203452
Adani Ports,FY2022-23,0.030888,-0.150782,-0.253849,-0.314101,0.060252
Adani Ports,FY2023-24,0.013837,-0.272368,-0.915547,-0.563219,-0.352328
Alkem Labs,FY2022-23,0.014277,0.115786,-0.809471,0.12783,-0.937302
Alkem Labs,FY2023-24,0.035291,0.00363,-0.227147,-0.080336,-0.146811
Ambuja Cements,FY2022-23,0.014616,-1.174609,-0.79813,-2.011457,1.213327
Ambuja Cements,FY2023-24,0.017383,-0.572915,-0.80176,-1.089052,0.287292
Angel One,FY2022-23,0.030407,0.594633,-0.269934,0.921688,-1.191622
Angel One,FY2023-24,0.093128,0.30355,1.628716,0.4444,1.184316
Apollo Hospitals,FY2022-23,0.035894,-0.108088,-0.086372,-0.24332,0.156948
Apollo Hospitals,FY2023-24,0.066623,-0.413707,0.77823,-0.810504,1.588734
Ashok Leyland,FY2022-23,0.035082,-0.078244,-0.113544,-0.193843,0.080299
Ashok Leyland,FY2023-24,0.056878,-0.077119,0.465517,-0.221614,0.687131
Asian Paints,FY2022-23,0.005295,0.754188,-1.109904,1.186207,-2.296111
Asian Paints,FY2023-24,0.010792,0.264702,-1.013261,0.376431,-1.389692
Aurobindo Pharma,FY2022-23,0.056208,-0.267705,0.593093,-0.507942,1.101035
Aurobindo Pharma,FY2023-24,0.032081,-0.171298,-0.330148,-0.386389,0.05624
Axis Bank,FY2022-23,0.024722,0.141156,-0.460097,0.16989,-0.629987
Axis Bank,FY2023-24,0.03025,0.283805,-0.388902,0.409855,-0.798756
BPCL,FY2022-23,0.104256,-1.352844,2.200263,-2.306944,4.507206
BPCL,FY2023-24,0.098092,-1.414426,1.787993,-2.561349,4.349341
BSE Ltd,FY2022-23,-0.012711,0.571737,-1.712203,0.883731,-2.595934
BSE Ltd,FY2023-24,-0.003226,0.554854,-1.463082,0.884078,-2.34716
Bajaj Auto,FY2022-23,0.023411,0.372812,-0.503942,0.553943,-1.057884
Bajaj Auto,FY2023-24,0.015885,0.135191,-0.849841,0.149841,-0.999681
Bajaj Finance,FY2022-23,0.015141,0.278842,-0.780577,0.398154,-1.17873
Bajaj Finance,FY2023-24,0.030027,0.285611,-0.396061,0.413014,-0.809074
