company_ops,year,scope1,scope12,energy,renew_energy,renew_pct,women_dir,women_emp,controversies,company,_z_scope1,_z_scope12,_z_energy,_z_renew_energy,_z_renew_pct,_z_women_dir,_z_women_emp,_z_controversies,ops_n_fields,OPS,LPS_finbert,LPS_climatebert,LPS_lm,solid,zLPS,zOPS,GDS
Reliance Industries,FY2022-23,480000.0,3870000,506.18,6.73,0.0133,0.07,,0,Reliance Industries,0.2808459240408884,0.10315084255990578,-2.0526790654666964,-0.18656417525148813,-0.7196870974820596,-1.497536944151169,,0.20412414523193148,7,-0.5526209100740982,0.0709138069232212,-0.0718636723043762,-0.2943469785575048,True,1.2255353337977388,-0.970975925541524,2.196511259339263
TCS,FY2022-23,20972.0,138237,1317.6,727.3152,0.552,0.11,,0,Tata Consultancy Services,0.31988892886021997,0.3644936875698495,-5.97749837179878,5.661548017810176,1.506337848281622,-1.053822294032304,,0.20412414523193148,7,0.14643885170324505,0.0361326328652389,-0.0450029233944112,-0.2260869565217391,True,0.1333475928058038,0.2287786782742498,-0.095431085468446
Infosys,FY2022-23,8593.0,70945,650.476,359.644,0.553,0.11,0.39,0,Infosys,0.3209418349066017,0.3692062812491398,-2.7506353971155275,2.677608814288353,1.510470064627944,-1.053822294032304,2.414988054424171,0.20412414523193148,8,0.4616101879475387,0.0362807445328783,-0.1167959886024127,-0.0313152400835073,True,0.13799854988459453,0.7696884578451384,-0.6316899079605438
HDFC Bank,FY2022-23,29829.0,385265,1.98,0.009,0.005,0.17,0.195,0,HDFC Bank,0.3191355894262752,0.34719382144300376,0.38612438312051717,-0.24111034418413824,-0.7539844931565325,-0.3882503188540068,0.4963169685980458,0.20412414523193148,8,0.04619371895313701,0.0456170205958187,-0.0608930262504145,-0.2495446265938069,True,0.4311734221721429,0.05673393174030119,0.3744394904318417
Wipro,FY2022-23,9640.0,68760,731.952,439.1712,0.6,0.13,0.35,0,Wipro,0.3208527814587819,0.3693593011800268,-3.144732877831695,3.3230342102027484,1.7046842329050795,-0.8319649689728718,2.0214144983572733,0.20412414523193148,8,0.4958464153164093,0.030982678372632,-0.105472501449506,-0.1538461538461538,True,-0.02836969580886037,0.8284460543325312,-0.8568157501413916
ITC,FY2022-23,1355000.0,1596000,24.394,10.4894,0.43,0.21,,0,ITC Ltd,0.20642207796414536,0.26240362189037564,0.27770839641557116,-0.15605370545749844,1.0022074540303334,0.05546433126485785,,0.20412414523193148,7,0.26461090304853097,0.0863521556818374,0.0195590427007388,-0.1593406593406593,True,1.7103256179672557,0.43159032671385517,1.2787352912534005
HCL Technologies,FY2022-23,15878.0,173743,1.0175,,0.4,0.3,0.3,0,HCL Technologies,0.32032220322812277,0.36200713120093675,0.39077997280569216,,0.8782409636406723,1.0538222940323037,1.5294475532736516,0.20412414523193148,7,0.6769634662019016,0.0490290996335122,-0.1689130896499947,-0.2539454806312769,True,0.538318479726896,1.1392864538384835,-0.6009679741115875
ICICI Bank,FY2022-23,23815.0,149765,0.7867,0.0615,0.0782,0.22,,0,ICICI Bank,0.3196471151523386,0.3636863586164099,0.39189634693487485,-0.24068426564389658,-0.4515062566057594,0.16639299379457415,,0.20412414523193148,7,0.10765091964006758,0.0108670984310182,-0.1996194547126916,-0.4269870609981516,True,-0.6600329564724758,0.1622092623104788,-0.8222422187829547
Asian Paints,FY2022-23,30000.0,103394,0.3726,,0.622,0.33,,0,Asian Paints,0.31912104488035614,0.36693381271945885,0.3938993388191667,,1.7955929925241645,1.3866082816214527,,0.20412414523193148,6,0.7443799359660884,0.0052950596944852,-0.1341095120730725,-0.2707482993197279,True,-0.835004404826355,1.2549893227419178,-2.089993727568273
Larsen & Toubro,FY2022-23,291000.0,970000,10.7,1.0272,0.096,0.11,,0,Larsen & Toubro,0.2969214747934648,0.3062436570094935,0.3439459498169065,-0.2328468552379659,-0.37795280564122713,-1.053822294032304,,0.20412414523193148,7,-0.07334096115138582,0.0058239277079701,-0.1170891068130731,-0.1792452830188679,True,-0.8183970539655695,-0.14841631522345572,-0.6699807387421137
Mahindra & Mahindra,FY2022-23,58935.0,261241,2.4682,0.8392,0.34,0.15,,0,Mahindra & Mahindra,0.3166599546103784,0.35587947082896776,0.38376297129267056,-0.23437262220111696,0.63030798286135,-0.6101076439134394,,0.20412414523193148,7,0.14946489410153457,-0.0342902789783218,-0.1210659674328306,-0.4385964912280701,True,-2.078051046937373,0.2339720944844163,-2.3120231414217893
Hindustan Unilever,FY2022-23,20165.0,239815,3.7194,3.5334,0.95,0.25,,0,Hindustan Unilever,0.3199575689102588,0.3573799765677253,0.37771094655075804,-0.21250708309408733,3.150959954117793,0.4991789813837228,,0.20412414523193148,7,0.670972069952586,0.1242670679221982,0.0275735798818261,-0.1154471544715447,True,2.900918042497659,1.129003777554663,1.771914264942996
Bajaj Finance,FY2022-23,18616.0,36278,0.0003,,0.018,0.21,0.21,0,Bajaj Finance,0.3200893203817706,0.3716340807658721,0.39570014509427387,,-0.7002656806543461,0.05546433126485785,0.6439070521231322,0.20412414523193148,7,0.18437905631535598,0.0199140491631795,-0.175223711280609,-0.1881481481481481,True,-0.37594338932467297,0.2938931901399617,-0.6698365794646346
Bharti Airtel,FY2022-23,51133.0,1201206,5.6132,0.5641,0.1,0.27,0.111,0,Bharti Airtel,0.31732356014991064,0.2900518372654827,0.36855068084085224,-0.23660527375198318,-0.361423940255939,0.7210363064431554,-0.330187499142439,0.20412414523193148,8,0.12160872709762141,0.0582684114575386,-0.0624285752751997,-0.2885032537960954,True,0.8284485107770573,0.18616421533738192,0.6422842954396754
Kotak Mahindra Bank,FY2022-23,12214.0,92696,0.11,0.0126,0.1144,0.22,,0,Kotak Mahindra Bank,0.3206338477675801,0.3676830151087629,0.39516952879457135,-0.24108112736995024,-0.3019200248689017,0.16639299379457415,,0.20412414523193148,7,0.13014319692265258,0.0344510557086661,-0.0948967092648841,-0.2188679245283019,True,0.08054322361230938,0.20081141722706705,-0.12026819361475767
Axis Bank,FY2022-23,7436.0,208628,0.25,,0.05,0.2,,0,Axis Bank,0.3210402444950712,0.35956406470711816,0.39449235211309136,,-0.5680347575720409,-0.055464331264858155,,0.20412414523193148,6,0.10928695295171886,0.019122564012096,-0.1356703385134183,-0.2103174603174603,True,-0.40079736284924283,0.1650170887724956,-0.5658144516217385
