company,year,LPS_finbert,LPS_climatebert,LPS_lm,brsr_pages,principles_found,ess_pages,word_count,source_file
Adani Enterprises,FY2022-23,0.03825119041970798,-0.12155642687742199,-0.4077079107505071,23,8,7,10275,adani enterprise 2023.pdf
Adani Green Energy,FY2022-23,0.016154178923794203,-0.1379879685917071,-0.3205944798301486,26,9,13,10272,adani green 2023.pdf
Adani Ports,FY2022-23,0.03088761501166285,-0.2046763994635976,-0.3741307371349096,32,9,16,14590,adani ports 2023.pdf
Alkem Laboratories,FY2022-23,0.014276760411174858,-0.22562706927933238,-0.362962962962963,20,9,15,10034,alkem 2023.pdf
Alkem Laboratories,FY2023-24,0.03529095809374537,-0.15797762169192234,-0.35776614310645727,26,9,15,12581,alkem 2024.pdf
Angel One,FY2022-23,0.030406746559026764,-0.16133547288070366,-0.32437619961612285,14,9,9,12082,angel one 2023.pdf
Ashok Leyland,FY2022-23,0.03508216891437769,-0.14638985123485326,-0.288961038961039,28,9,14,14742,ashok leyland 2023.pdf
Ashok Leyland,FY2023-24,0.05687754675154648,-0.07584114958133016,-0.2787286063569682,34,9,13,18627,ashok leyland 2024.pdf
Asian Paints,FY2022-23,0.005295059694485231,-0.1341095120730725,-0.2707482993197279,18,9,10,16209,asianpaints 2023.pdf
Asian Paints,FY2023-24,0.010792076404466003,-0.1052693698524696,-0.24634146341463414,20,9,12,18269,asianpaints 2024.pdf
Aurobindo Pharma,FY2022-23,0.05620772759598422,0.040886215910495044,-0.19664268585131894,28,9,12,24689,aurobindo 2022-23.pdf
Aurobindo Pharma,FY2023-24,0.032080974023450504,-0.10749598147178238,-0.17374517374517376,20,9,11,16292,aurobindo 2023-24.pdf
Bharat Petroleum,FY2023-24,0.09809192292806175,0.04986533396359947,-0.2218700475435816,25,9,13,26961,bharat petroleum 2024.pdf
Bharti Airtel,FY2023-24,0.027091176458159272,-0.0934533200093678,-0.20376175548589343,14,9,11,14540,airtel 2024.pdf
Dabur India,FY2023-24,0.10661853974064191,0.040332880625057785,-0.24882629107981222,48,9,17,18783,dabur 2024.pdf
Divi's Laboratories,FY2023-24,0.043165571439792126,-0.06633299837509792,-0.31384615384615383,18,9,11,15294,divis 2024.pdf
Dr Reddy's Laboratories,FY2022-23,0.04590062606473302,-0.04752988892412463,-0.21292775665399238,12,9,10,12705,dr.reddy 2023.pdf
Dr Reddy's Laboratories,FY2023-24,0.03566103784198111,-0.14068197338333863,-0.24865831842576028,15,9,12,13186,dr.reddy 2024.pdf
Emami Ltd,FY2022-23,0.049649885708564205,-0.06644098490084473,-0.3686200378071834,26,9,14,11121,emami 2023.pdf
Emami Ltd,FY2023-24,0.07000958960412479,-0.09808597690993692,-0.3921901528013582,32,9,16,12090,emami 2024.pdf
Federal Bank,FY2022-23,0.0061879261724046754,-0.204663665008706,-0.4758909853249476,25,9,12,11017,federal bank 2023.pdf
Grasim Industries,FY2022-23,0.06414431765459586,-0.12597212990394968,-0.20909090909090908,23,9,14,20594,grasim 2023.pdf
Grasim Industries,FY2023-24,0.056382273532906355,-0.100706939490474,-0.2365038560411311,36,9,18,14562,grasim 2024.pdf
Hero MotoCorp,FY2022-23,0.045709262009371414,-0.09788120059635151,-0.28385899814471244,14,9,9,13121,hero motocorp 2023.pdf
Hero MotoCorp,FY2023-24,0.020627499462998643,-0.08902630818133452,-0.20556414219474498,16,9,11,14617,hero motocorp 2024.pdf
Hindalco Industries,FY2022-23,0.017868410902363914,-0.12600410828100783,-0.16638655462184873,13,9,7,10467,hindalco 2023.pdf
Hindalco Industries,FY2023-24,0.01271621691994369,-0.17646599598228932,-0.2088888888888889,14,9,8,11758,hindalco 2024.pdf
