company,year,LPS,OPS,zLPS,zOPS,GDS,ticker,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year,sector,ticker_tracker,event_date,date_type,event_study_ready,sector_clean
ABB India,FY2022-23,0.062901,0.783182,0.973922,1.234276,-0.260354,ABB.NS,568550170125.0,27.066355,330900000.0,93182300000.0,0.003551,mcap=2022-12-30;bs=2022-12-31,Infrastructure,ABB.NS,2023-06-08,brsr_filing,True,Infrastructure
ABB India,FY2023-24,0.048783,0.690851,0.566667,1.122017,-0.55535,ABB.NS,990639887562.93,27.621617,489800000.0,110011900000.0,0.004452,mcap=2023-12-29;bs=2023-12-31,Infrastructure,ABB.NS,2024-04-05,brsr_filing,True,Infrastructure
ACC,FY2022-23,0.008873,-1.136838,-0.722637,-1.948837,1.226201,ACC.NS,458501399679.4,26.851229,1318100000.0,200898600000.0,0.006561,mcap=2022-12-30;bs=2022-12-31,Cement,ACC.NS,2023-08-24,brsr_filing,True,Cement
ACC,FY2023-24,-0.001742,-0.717842,-1.043572,-1.342615,0.299043,ACC.NS,467909514047.8,26.871541,3548500000.0,233677400000.0,0.015185,mcap=2024-03-28;bs=2024-03-31,Cement,ACC.NS,2024-05-29,brsr_filing,True,Cement
Adani Enterprises,FY2022-23,0.038251,-0.305997,0.199874,-0.571424,0.771298,ADANIENT.NS,2058327786569.79,28.352915,530126000000.0,1414878200000.0,0.37468,mcap=2023-03-31;bs=2023-03-31,Energy,ADANIENT.NS,2023-06-27,brsr_filing,True,Energy
Adani Enterprises,FY2023-24,0.043447,-0.347954,0.396612,-0.695464,1.092076,ADANIENT.NS,3759421949222.42,28.955286,653101500000.0,1607318500000.0,0.40633,mcap=2024-03-28;bs=2024-03-31,Energy,ADANIENT.NS,2024-05-29,brsr_filing,True,Energy
Adani Green,FY2022-23,0.016154,0.862798,-0.49401,1.366267,-1.860276,ADANIGREEN.NS,1395770256662.37,27.964468,542240000000.0,673610000000.0,0.804976,mcap=2023-03-31;bs=2023-03-31,Energy,ADANIGREEN.NS,2023-10-06,brsr_filing,True,Energy
Adani Green,FY2023-24,0.016742,0.508874,-0.454496,0.803632,-1.258129,ADANIGREEN.NS,2906937240674.37,28.698121,648580000000.0,885380000000.0,0.732544,mcap=2024-03-28;bs=2024-03-31,Energy,ADANIGREEN.NS,2024-07-09,brsr_filing,True,Energy
Adani Ports,FY2022-23,0.030888,-0.150782,-0.031355,-0.314101,0.282746,ADANIPORTS.NS,1364991852083.27,27.94217,524428400000.0,1147630900000.0,0.456966,mcap=2023-03-31;bs=2023-03-31,Infrastructure,ADANIPORTS.NS,2023-07-17,brsr_filing,True,Infrastructure
Adani Ports,FY2023-24,0.022593,-0.272368,-0.268009,-0.563219,0.29521,ADANIPORTS.NS,2898582390610.48,28.695243,491666600000.0,1189178700000.0,0.413451,mcap=2024-03-28;bs=2024-03-31,Infrastructure,ADANIPORTS.NS,2024-05-28,brsr_filing,True,Infrastructure
Alkem Labs,FY2022-23,0.014277,0.115786,-0.552964,0.12783,-0.680794,ALKEM.NS,406054708176.27,26.729754,13966800000.0,137566500000.0,0.101528,mcap=2023-03-31;bs=2023-03-31,Pharma,ALKEM.NS,2023-08-10,brsr_filing,True,Pharma
Alkem Labs,FY2023-24,0.035291,0.00363,0.136667,-0.080336,0.217003,ALKEM.NS,590890230000.0,27.104896,14184100000.0,155749000000.0,0.09107,mcap=2024-03-28;bs=2024-03-31,Pharma,ALKEM.NS,2024-07-26,brsr_filing,True,Pharma
Ambuja Cements,FY2022-23,0.028542,-1.174609,-0.105019,-2.011457,1.906438,AMBUJACEM.NS,1070583513088.0,27.699225,8659300352.0,,0.01205,mcap=current_proxy;bs=current_proxy+debt_current_proxy,Cement,AMBUJACEM.NS,2023-08-24,brsr_filing,True,Cement
Ambuja Cements,FY2023-24,0.002111,-0.572915,-0.920757,-1.089052,0.168295,AMBUJACEM.NS,1345746836985.25,27.92797,6990100000.0,651036800000.0,0.010737,mcap=2024-03-28;bs=2024-03-31,Cement,AMBUJACEM.NS,2024-06-01,brsr_filing,True,Cement
Angel One,FY2022-23,0.030407,0.594633,-0.046455,0.921688,-0.968143,ANGELONE.NS,97004648876.77,25.298025,7878520000.0,74776710000.0,0.105361,mcap=2023-03-31;bs=2023-03-31,Financial Services,ANGELONE.NS,2023-07-19,brsr_filing,True,Financial Services
Angel One,FY2023-24,0.041745,0.30355,0.342359,0.4444,-0.102041,ANGELONE.NS,255804932460.0,26.267681,25411220000.0,132537330000.0,0.191729,mcap=2024-03-28;bs=2024-03-31,Financial Services,ANGELONE.NS,2024-07-18,brsr_filing,True,Financial Services
Apollo Hospitals,FY2022-23,0.035894,-0.108088,0.125869,-0.24332,0.36919,APOLLOHOSP.NS,619841263819.83,27.152729,43324000000.0,144278000000.0,0.300281,mcap=2023-03-31;bs=2023-03-31,Pharma,APOLLOHOSP.NS,2023-08-24,brsr_filing,True,Pharma
Apollo Hospitals,FY2023-24,0.076803,-0.413707,1.459643,-0.810504,2.270148,APOLLOHOSP.NS,914010279534.66,27.541108,53326000000.0,167531000000.0,0.318305,mcap=2024-03-28;bs=2024-03-31,Pharma,APOLLOHOSP.NS,2024-08-29,brsr_filing,True,Pharma
Ashok Leyland,FY2022-23,0.035082,-0.078244,0.100361,-0.193843,0.294204,ASHOKLEY.NS,408708907858.85,26.736269,311609300000.0,547460100000.0,0.569191,mcap=2023-03-31;bs=2023-03-31,Auto,ASHOKLEY.NS,2023-06-28,brsr_filing,True,Auto
Ashok Leyland,FY2023-24,0.056878,-0.077119,0.824627,-0.221614,1.046241,ASHOKLEY.NS,502846046015.0,26.94355,408021800000.0,675956000000.0,0.603622,mcap=2024-03-28;bs=2024-03-31,Auto,ASHOKLEY.NS,2024-07-03,brsr_filing,True,Auto
Asian Paints,FY2022-23,0.005295,0.754188,-0.835004,1.186207,-2.021212,ASIANPAINT.NS,2647980754139.42,28.604818,19326200000.0,257980000000.0,0.074914,mcap=2023-03-31;bs=2023-03-31,Consumer,ASIANPAINT.NS,2023-06-03,brsr_filing,True,Consumer
Asian Paints,FY2023-24,0.010792,0.264702,-0.644107,0.376431,-1.020539,ASIANPAINT.NS,2729584075551.25,28.63517,24743800000.0,299240900000.0,0.082689,mcap=2024-03-28;bs=2024-03-31,Consumer,ASIANPAINT.NS,2024-05-31,brsr_filing,True,Consumer
Aurobindo Pharma,FY2022-23,0.056208,-0.267705,0.76374,-0.507942,1.271682,AUROPHARMA.NS,303574779017.76,26.438894,52862100000.0,398899900000.0,0.13252,mcap=2023-03-31;bs=2023-03-31,Pharma,AUROPHARMA.NS,2023-08-11,brsr_filing,True,Pharma
Aurobindo Pharma,FY2023-24,0.032081,-0.171298,0.034365,-0.386389,0.420754,AUROPHARMA.NS,637940660548.75,27.181511,66476300000.0,450715100000.0,0.147491,mcap=2024-03-28;bs=2024-03-31,Pharma,AUROPHARMA.NS,2024-08-05,brsr_filing,True,Pharma
Axis Bank,FY2022-23,0.019123,0.141156,-0.400797,0.16989,-0.570688,AXISBANK.NS,2641477452302.0,28.60236,1984445700000.0,13444179600000.0,0.147606,mcap=2023-03-31;bs=2023-03-31,Banking,AXISBANK.NS,2023-08-02,brsr_filing,True,Banking
Axis Bank,FY2023-24,0.028789,0.283805,-0.070553,0.409855,-0.480408,AXISBANK.NS,3232256345988.56,28.804202,2281995500000.0,15182385300000.0,0.150305,mcap=2024-03-28;bs=2024-03-31,Banking,AXISBANK.NS,2024-07-02,brsr_filing,True,Banking
BPCL,FY2022-23,0.110693,-1.352844,2.474662,-2.306944,4.781606,BPCL.NS,733171498868.37,27.320645,693760300000.0,1881381900000.0,0.36875,mcap=2023-03-31;bs=2023-03-31,Oil & Gas,BPCL.NS,2023-08-03,brsr_filing,True,Oil & Gas
BPCL,FY2023-24,0.098092,-1.414426,2.13812,-2.561349,4.699469,BPCL.NS,1286902616204.38,27.883259,545990500000.0,2024177500000.0,0.269734,mcap=2024-03-28;bs=2024-03-31,Oil & Gas,BPCL.NS,2024-08-08,brsr_filing,True,Oil & Gas
BSE Ltd,FY2022-23,-0.012211,0.571737,-1.384717,0.883731,-2.268448,BSE.NS,58377730396.05,24.7902,200000.0,59938100000.0,3e-06,mcap=2023-03-31;bs=2023-03-31,Financial Services,BSE.NS,2023-08-07,brsr_filing,True,Financial Services
BSE Ltd,FY2023-24,-0.006202,0.554854,-1.185706,0.884078,-2.069784,BSE.NS,340593393175.9,26.553955,200000.0,94502300000.0,2e-06,mcap=2024-03-28;bs=2024-03-31,Financial Services,BSE.NS,2024-06-20,brsr_filing,True,Financial Services
Bajaj Auto,FY2022-23,-0.00386,0.372812,-1.122475,0.553943,-1.676417,BAJAJ-AUTO.NS,1099218596490.5,27.725621,0.0,351364500000.0,0.0,mcap=2023-03-31;bs=2023-03-31,Auto,BAJAJ-AUTO.NS,2023-07-04,brsr_filing,True,Auto
Bajaj Auto,FY2023-24,0.010371,0.135191,-0.657512,0.149841,-0.807352,BAJAJ-AUTO.NS,2553978393905.99,28.568673,17859000000.0,393656800000.0,0.045367,mcap=2024-03-28;bs=2024-03-31,Auto,BAJAJ-AUTO.NS,2024-06-21,brsr_filing,True,Auto
Bajaj Finance,FY2022-23,0.019914,0.278842,-0.375943,0.398154,-0.774097,BAJFINANCE.NS,3394880634354.16,28.85329,1644669400000.0,2752263100000.0,0.59757,mcap=2023-03-31;bs=2023-03-31,FinServ,BAJFINANCE.NS,2023-07-05,brsr_filing,True,Financial Services
Bajaj Finance,FY2023-24,0.013098,0.285611,-0.57062,0.413014,-0.983634,BAJFINANCE.NS,4477622547673.61,29.130113,2184371100000.0,3757416200000.0,0.581349,mcap=2024-03-28;bs=2024-03-31,FinServ,BAJFINANCE.NS,2024-06-27,brsr_filing,True,Financial Services
Bajaj Finserv,FY2022-23,0.018493,0.076985,-0.420572,0.063504,-0.484076,BAJAJFINSV.NS,2014715852323.5,28.331499,1675994100000.0,4055091900000.0,0.413306,mcap=2023-03-31;bs=2023-03-31,Financial Services,BAJAJFINSV.NS,2023-07-10,brsr_filing,True,Financial Services
Bajaj Finserv,FY2023-24,0.006254,0.306846,-0.788738,0.450166,-1.238904,BAJAJFINSV.NS,2620507854159.9,28.594389,2287817000000.0,5379296300000.0,0.4253,mcap=2024-03-28;bs=2024-03-31,Financial Services,BAJAJFINSV.NS,2024-06-28,brsr_filing,True,Financial Services
Bank of Baroda,FY2022-23,0.002289,-0.887746,-0.929389,-1.535879,0.60649,BANKBARODA.NS,873184535487.64,27.495413,1054811554000.0,15258789729000.0,0.069128,mcap=2023-03-31;bs=2023-03-31,Banking,BANKBARODA.NS,2023-06-14,brsr_filing,True,Banking
Bank of Baroda,FY2023-24,-0.017482,-0.065104,-1.545196,-0.200592,-1.344604,BANKBARODA.NS,1365498120237.97,27.94254,930891013000.0,16547793845000.0,0.056255,mcap=2024-03-28;bs=2024-03-31,Banking,BANKBARODA.NS,2024-06-11,brsr_filing,True,Banking
Bharti Airtel,FY2022-23,0.058268,-0.085966,0.828449,-0.206645,1.035094,BHARTIARTL.NS,4467411675930.0,29.12783,2260203000000.0,4466332000000.0,0.506054,mcap=2023-03-31;bs=2023-03-31,Telecom,BHARTIARTL.NS,2023-08-03,brsr_filing,True,Telecom
Bharti Airtel,FY2023-24,0.027091,0.058678,-0.124659,0.015976,-0.140634,BHARTIARTL.NS,7425973637740.94,29.636005,2155923000000.0,4445310000000.0,0.484988,mcap=2024-03-28;bs=2024-03-31,Telecom,BHARTIARTL.NS,2024-07-30,brsr_filing,True,Telecom
Biocon,FY2022-23,0.011689,-0.168102,-0.634211,-0.342815,-0.291396,BIOCON.NS,246379375785.72,26.230138,180188000000.0,520428000000.0,0.34623,mcap=2023-03-31;bs=2023-03-31,Pharma,BIOCON.NS,2023-08-09,brsr_filing,True,Pharma
Biocon,FY2023-24,-0.010185,-0.048604,-1.312627,-0.171724,-1.140903,BIOCON.NS,316136028690.58,26.479438,162767000000.0,560707000000.0,0.290289,mcap=2024-03-28;bs=2024-03-31,Pharma,BIOCON.NS,2024-07-18,brsr_filing,True,Pharma
Bosch India,FY2022-23,0.065516,0.657926,1.056049,1.026619,0.029431,BOSCHLTD.NS,571288868956.95,27.071161,532000000.0,162523000000.0,0.003273,mcap=2023-03-31;bs=2023-03-31,Auto,BOSCHLTD.NS,2023-07-10,brsr_filing,True,Auto
Bosch India,FY2023-24,0.053001,0.440194,0.701094,0.68347,0.017624,BOSCHLTD.NS,885732373973.91,27.509681,393000000.0,173485000000.0,0.002265,mcap=2024-03-28;bs=2024-03-31,Auto,BOSCHLTD.NS,2024-07-10,brsr_filing,True,Auto
