company,sector,ticker,ticker_tracker,ticker_note,nse_symbol
ABB India,Infrastructure,ABB.NS,ABB.NS,,ABB
ACC,Cement,ACC.NS,ACC.NS,,ACC
Adani Enterprises,Energy,ADANIENT.NS,ADANIENT.NS,,ADANIENT
Adani Green,Energy,ADANIGREEN.NS,ADANIGREEN.NS,,ADANIGREEN
Adani Ports,Infrastructure,ADANIPORTS.NS,ADANIPORTS.NS,,ADANIPORTS
Alkem Labs,Pharma,ALKEM.NS,ALKEM.NS,,ALKEM
Ambuja Cements,Cement,AMBUJACEM.NS,AMBUJACEM.NS,,AMBUJACEM
Angel One,Financial Services,ANGELONE.NS,ANGELONE.NS,,ANGELONE
Apollo Hospitals,Pharma,APOLLOHOSP.NS,APOLLOHOSP.NS,,APOLLOHOSP
Ashok Leyland,Auto,ASHOKLEY.NS,ASHOKLEY.NS,,ASHOKLEY
Asian Paints,Consumer,ASIANPAINT.NS,ASIANPAINT.NS,,ASIANPAINT
Aurobindo Pharma,Pharma,AUROPHARMA.NS,AUROPHARMA.NS,,AUROPHARMA
Axis Bank,Banking,AXISBANK.NS,AXISBANK.NS,,AXISBANK
BPCL,Oil & Gas,BPCL.NS,BPCL.NS,,BPCL
BSE Ltd,Financial Services,BSE.NS,BSE.NS,,BSE
Bajaj Auto,Auto,BAJAJ-AUTO.NS,BAJAJ-AUTO.NS,,BAJAJ-AUTO
Bajaj Finance,FinServ,BAJFINANCE.NS,BAJFINANCE.NS,,BAJFINANCE
Bajaj Finserv,Financial Services,BAJAJFINSV.NS,BAJAJFINSV.NS,,BAJAJFINSV
Bank of Baroda,Banking,BANKBARODA.NS,BANKBARODA.NS,,BANKBARODA
Bharti Airtel,Telecom,BHARTIARTL.NS,BHARTIARTL.NS,,BHARTIARTL
Biocon,Pharma,BIOCON.NS,BIOCON.NS,,BIOCON
Bosch India,Auto,BOSCHLTD.NS,BOSCHLTD.NS,,BOSCHLTD
Britannia,FMCG,BRITANNIA.NS,BRITANNIA.NS,,BRITANNIA
CDSL,Financial Services,CDSL.NS,CDSL.NS,,CDSL
Cholamandalam,Financial Services,CHOLAFIN.NS,CHOLAFIN.NS,,CHOLAFIN
Cipla,Pharma,CIPLA.NS,CIPLA.NS,,CIPLA
Coal India,Energy,COALINDIA.NS,COALINDIA.NS,,COALINDIA
Coforge,IT,COFORGE.NS,COFORGE.NS,,COFORGE
Colgate India,FMCG,COLPAL.NS,COLPAL.NS,,COLPAL
Cummins India,Infrastructure,CUMMINSIND.NS,CUMMINSIND.NS,,CUMMINSIND
Dabur,FMCG,DABUR.NS,DABUR.NS,,DABUR
Divi's Labs,Pharma,DIVISLAB.NS,DIVISLAB.NS,,DIVISLAB
Dr Reddy's,Pharma,DRREDDY.NS,DRREDDY.NS,,DRREDDY
Eicher Motors,Auto,EICHERMOT.NS,EICHERMOT.NS,,EICHERMOT
Emami,FMCG,EMAMILTD.NS,EMAMILTD.NS,,EMAMILTD
Escorts Kubota,Auto,ESCORTS.NS,ESCORTS.NS,,ESCORTS
Federal Bank,Banking,FEDERALBNK.NS,FEDERALBNK.NS,,FEDERALBNK
Godrej Consumer,FMCG,GODREJCP.NS,GODREJCP.NS,,GODREJCP
Grasim Industries,Diversified,GRASIM.NS,GRASIM.NS,,GRASIM
HCL Technologies,IT,HCLTECH.NS,HCLTECH.NS,,HCLTECH
HDFC Bank,Banking,HDFCBANK.NS,HDFCBANK.NS,,HDFCBANK
HDFC Life,Insurance,HDFCLIFE.NS,HDFCLIFE.NS,,HDFCLIFE
Havells,Consumer,HAVELLS.NS,HAVELLS.NS,,HAVELLS
Hero MotoCorp,Auto,HEROMOTOCO.NS,HEROMOTOCO.NS,,HEROMOTOCO
Hindalco Industries,Metals & Mining,HINDALCO.NS,HINDALCO.NS,,HINDALCO
Hindustan Unilever,FMCG,HINDUNILVR.NS,HINDUNILVR.NS,,HINDUNILVR
ICICI Bank,Banking,ICICIBANK.NS,ICICIBANK.NS,,ICICIBANK
ICICI Lombard,Insurance,ICICIGI.NS,ICICIGI.NS,,ICICIGI
IDFC First Bank,Banking,IDFCFIRSTB.NS,IDFCFIRSTB.NS,,IDFCFIRSTB
ITC,FMCG,ITC.NS,ITC.NS,,ITC
