company,year,event_date,date_type,source
ABB India,FY2022-23,2023-06-08,brsr_filing,"NSE corporate filings - Business Sustainability Reports; symbol ABB; NSE fy 2022-2022; submissionDate 08-Jun-2023; https://nsearchives.nseindia.com/corporate/null; calendar-year reporter, NSE labels this filing CY2022 which is the tracker's FY2022-23"
ABB India,FY2023-24,2024-04-05,brsr_filing,"NSE corporate filings - Business Sustainability Reports; symbol ABB; NSE fy 2023-2023; submissionDate 05-Apr-2024; https://nsearchives.nseindia.com/corporate/ABB_05042024210522_ABBAnnualReport2023.pdf; calendar-year reporter, NSE labels this filing CY2023 which is the tracker's FY2023-24"
ACC,FY2022-23,2023-08-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ACC; NSE fy 2022-2023; submissionDate 24-Aug-2023; https://nsearchives.nseindia.com/corporate/ACC_1_24082023192839_ACCSignedBRSR.pdf
ACC,FY2023-24,2024-05-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ACC; NSE fy 2023-2024; submissionDate 29-May-2024; https://nsearchives.nseindia.com/corporate/ACC_1_29052024175231_BRSR_Covering.pdf
Adani Enterprises,FY2022-23,2023-06-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIENT; NSE fy 2022-2023; submissionDate 27-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Adani Enterprises,FY2023-24,2024-05-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIENT; NSE fy 2023-2024; submissionDate 29-May-2024; https://nsearchives.nseindia.com/corporate/kuntal_chandya_adani_com_29052024203210_AELIntimationforsubmissionofBRSR.pdf
Adani Green,FY2022-23,2023-10-06,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIGREEN; NSE fy 2022-2023; submissionDate 06-Oct-2023; https://nsearchives.nseindia.com/corporate/ADANIGREEN_06102023122951_BRSR.pdf
Adani Green,FY2023-24,2024-07-09,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIGREEN; NSE fy 2023-2024; submissionDate 09-Jul-2024; https://nsearchives.nseindia.com/corporate/ADANIGREEN_09072024152511_123.pdf
Adani Ports,FY2022-23,2023-07-17,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIPORTS; NSE fy 2022-2023; submissionDate 17-Jul-2023; https://nsearchives.nseindia.com/corporate/rkbhagia_17072023235546_BRSRintimation.pdf
Adani Ports,FY2023-24,2024-05-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ADANIPORTS; NSE fy 2023-2024; submissionDate 28-May-2024; https://nsearchives.nseindia.com/corporate/rkbhagia_28052024224029_IntimationofBRSR.pdf
Alkem Labs,FY2022-23,2023-08-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ALKEM; NSE fy 2022-2023; submissionDate 10-Aug-2023; https://nsearchives.nseindia.com/corporate/ALKEM_10082023174615_Reg34BRSR31032023pdf.pdf
Alkem Labs,FY2023-24,2024-07-26,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ALKEM; NSE fy 2023-2024; submissionDate 26-Jul-2024; https://nsearchives.nseindia.com/corporate/ALKEM_26072024181314_ExchangeintimationBRSR2324signedfinal.pdf
Ambuja Cements,FY2022-23,2023-08-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AMBUJACEM; NSE fy 2022-2023; submissionDate 24-Aug-2023; https://nsearchives.nseindia.com/corporate/AMBUJACEM_24082023200542_AmbujaBRSR.pdf
Ambuja Cements,FY2023-24,2024-06-01,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AMBUJACEM; NSE fy 2023-2024; submissionDate 01-Jun-2024; https://nsearchives.nseindia.com/corporate/AMBUJACEM_01062024103541_FINALBRSR_ACL.pdf
Angel One,FY2022-23,2023-07-19,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ANGELONE; NSE fy 2022-2023; submissionDate 19-Jul-2023; https://nsearchives.nseindia.com/corporate/ANGEL8896_19072023111351_BRSR.pdf
Angel One,FY2023-24,2024-07-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ANGELONE; NSE fy 2023-2024; submissionDate 18-Jul-2024; https://nsearchives.nseindia.com/corporate/ANGEL8896_18072024194546_IntimationforfilingofBRSR.pdf
Apollo Hospitals,FY2022-23,2023-08-24,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol APOLLOHOSP; NSE fy 2022-2023; submissionDate 24-Aug-2023; https://nsearchives.nseindia.com/corporate/APOLLOHOSP_24082023153154_BRSR_2023_SE.pdf
Apollo Hospitals,FY2023-24,2024-08-29,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol APOLLOHOSP; NSE fy 2023-2024; submissionDate 29-Aug-2024; https://nsearchives.nseindia.com/corporate/APOLLOHOSP_29082024160540_BRSR_FY2024.pdf
Ashok Leyland,FY2022-23,2023-06-28,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ASHOKLEY; NSE fy 2022-2023; submissionDate 28-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Ashok Leyland,FY2023-24,2024-07-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ASHOKLEY; NSE fy 2023-2024; submissionDate 03-Jul-2024; https://nsearchives.nseindia.com/corporate/ASHOKLEY_03072024122054_BRSR.pdf
Asian Paints,FY2022-23,2023-06-03,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ASIANPAINT; NSE fy 2022-2023; submissionDate 03-Jun-2023; https://nsearchives.nseindia.com/corporate/null
Asian Paints,FY2023-24,2024-05-31,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol ASIANPAINT; NSE fy 2023-2024; submissionDate 31-May-2024; https://nsearchives.nseindia.com/corporate/ASIANPAINT_31052024190858_SEIntimationBRSRFilingfinalsigned.pdf
Aurobindo Pharma,FY2022-23,2023-08-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol AUROPHARMA; NSE fy 2022-2023; submissionDate 11-Aug-2023; https://nsearchives.nseindia.com/corporate/AUROPHARMA_11082023152529_AurobindoPharmaBRSR010823.pdf
