company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
ABB India,FY2022-23,2023-06-08,-1.089293,-0.006111250405212336,0.017968470901526187,0.004163728148657545,0.025949735076005613,0.010784132678369742,-0.023574426499734,27.066355,0.003551,Infrastructure
ABB India,FY2023-24,2024-04-05,-1.031959,0.02229074590930013,0.016254400698126267,0.0205853148596848,0.013113707473698229,0.014056952092891171,0.08204493068482797,27.621617,0.004452,Infrastructure
ACC,FY2022-23,2023-08-24,1.395333,0.016098184740842975,0.004271899847363708,0.014671885264301495,0.03082287443859068,0.06526004522486277,0.03687182696294297,26.851229,0.006561,Cement
ACC,FY2023-24,2024-05-29,0.806718,-0.004536260907892295,-0.004330449152140416,-0.005742652815779209,-0.03425715808935836,-0.028755384360472903,-0.024395703300660244,26.871541,0.015185,Cement
Adani Enterprises,FY2022-23,2023-06-27,0.563882,-0.01903848402158932,0.03573677617114748,0.015986900282254777,-0.031046631564295192,-0.06350710114634099,-0.08883907651089931,28.352915,0.37468,Energy
Adani Enterprises,FY2023-24,2024-05-29,1.646032,0.015284294177089038,0.008319187688279486,0.013368476974763045,0.008827695450119737,0.036070083368822704,-0.06170010661890927,28.955286,0.40633,Energy
Adani Green,FY2022-23,2023-10-06,-2.112939,-0.004111714016738754,-0.02382595099372963,-0.007825759631879769,-0.007675043538656935,-0.035039351747485674,0.021127832368422368,27.964468,0.804976,Energy
Adani Green,FY2023-24,2024-07-09,-1.203452,-0.008852439990729374,0.0013640876533703638,-0.0012576757611987227,-0.01945120026593139,-0.053583282797307265,-0.013295681788676619,28.698121,0.732544,Energy
Adani Ports,FY2022-23,2023-07-17,0.060252,-0.004846522876750074,-0.011301191909647151,-0.007721187922920668,0.007156924358610279,-0.0011608217688789807,0.08912653993506175,27.94217,0.456966,Infrastructure
Adani Ports,FY2023-24,2024-05-28,-0.352328,-0.014827567326528825,0.010344822565143456,0.0007751177106589922,-0.026226177396250813,0.009913208589859779,0.008709533765468673,28.695243,0.413451,Infrastructure
Alkem Labs,FY2022-23,2023-08-10,-0.937302,-0.019628495471141042,-0.07441827608708663,-0.09571368798349364,-0.10159791370356122,-0.0356824107762159,-0.10865527287495017,26.729754,0.101528,Pharma
Alkem Labs,FY2023-24,2024-07-26,-0.146811,0.008851984698539124,-0.014460751017072055,-0.011597813129802159,0.006638679936262585,-0.006235413086478601,0.06661036425546739,27.104896,0.09107,Pharma
Ambuja Cements,FY2022-23,2023-08-24,1.213327,-0.007305578621991638,-0.05458898377369008,-0.026831917070747655,-0.052288486155812705,-0.026281141578727643,-0.081087883023866,27.699225,0.01205,Cement
Ambuja Cements,FY2023-24,2024-06-03,0.287292,0.008534936677166143,-0.04011949454607143,-0.059688121595353284,-0.023013736336522393,0.002979243013544127,0.026359535481388623,27.92797,0.010737,Cement
Angel One,FY2022-23,2023-07-19,-1.191622,0.02156685434046613,-0.02176028711391645,0.057918971857176746,0.07664377454894539,-0.11254196877177558,0.015532913304643339,25.298025,0.105361,Financial Services
Angel One,FY2023-24,2024-07-18,1.184316,-0.027294471077080478,-0.06165163368420777,-0.03637421980059233,-0.018384987680910427,-0.03681972091421164,-0.026760230600420473,26.267681,0.191729,Financial Services
Apollo Hospitals,FY2022-23,2023-08-24,0.156948,-0.004730466602276135,-0.008645234214585448,-0.011761277317688428,-0.027831939412529996,-0.03250824833638184,-0.014156732995574902,27.152729,0.300281,Pharma
Apollo Hospitals,FY2023-24,2024-08-29,1.588734,0.011074004966252618,0.0171333445831549,0.018619913379853532,0.017063231948980427,0.012889890302243771,0.023311825125855785,27.541108,0.318305,Pharma
Ashok Leyland,FY2022-23,2023-06-28,0.080299,0.007143870798600575,-0.0039652286030726226,0.006186069702896839,-0.02255098759661414,-0.040972679973014355,0.04478721182199666,26.736269,0.569191,Auto
Ashok Leyland,FY2023-24,2024-07-03,0.687131,-0.03214162921576853,-0.06113382056097924,-0.046278748382301046,-0.05505292931805613,-0.10468579902162882,-0.03133628149397142,26.94355,0.603622,Auto
Asian Paints,FY2022-23,2023-06-05,-2.296111,-0.013374976665906601,-0.012898396978184326,-0.009935238783707652,-0.017016428593687502,0.01347538746159509,0.03842451033025072,28.604818,0.074914,Consumer
