company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
ABB India,ABB.NS,FY2022-23,568550170125.0,27.066355,330900000.0,93182300000.0,0.003551,mcap=2022-12-30;bs=2022-12-31
ABB India,ABB.NS,FY2023-24,990639887562.93,27.621617,489800000.0,110011900000.0,0.004452,mcap=2023-12-29;bs=2023-12-31
ACC,ACC.NS,FY2022-23,458501399679.4,26.851229,1318100000.0,200898600000.0,0.006561,mcap=2022-12-30;bs=2022-12-31
ACC,ACC.NS,FY2023-24,467909514047.8,26.871541,3548500000.0,233677400000.0,0.015185,mcap=2024-03-28;bs=2024-03-31
Adani Enterprises,ADANIENT.NS,FY2022-23,2058327786569.79,28.352915,530126000000.0,1414878200000.0,0.37468,mcap=2023-03-31;bs=2023-03-31
Adani Enterprises,ADANIENT.NS,FY2023-24,3759421949222.42,28.955286,653101500000.0,1607318500000.0,0.40633,mcap=2024-03-28;bs=2024-03-31
Adani Green,ADANIGREEN.NS,FY2022-23,1395770256662.37,27.964468,542240000000.0,673610000000.0,0.804976,mcap=2023-03-31;bs=2023-03-31
Adani Green,ADANIGREEN.NS,FY2023-24,2906937240674.37,28.698121,648580000000.0,885380000000.0,0.732544,mcap=2024-03-28;bs=2024-03-31
Adani Ports,ADANIPORTS.NS,FY2022-23,1364991852083.27,27.94217,524428400000.0,1147630900000.0,0.456966,mcap=2023-03-31;bs=2023-03-31
Adani Ports,ADANIPORTS.NS,FY2023-24,2898582390610.48,28.695243,491666600000.0,1189178700000.0,0.413451,mcap=2024-03-28;bs=2024-03-31
Alkem Labs,ALKEM.NS,FY2022-23,406054708176.27,26.729754,13966800000.0,137566500000.0,0.101528,mcap=2023-03-31;bs=2023-03-31
Alkem Labs,ALKEM.NS,FY2023-24,590890230000.0,27.104896,14184100000.0,155749000000.0,0.09107,mcap=2024-03-28;bs=2024-03-31
Ambuja Cements,AMBUJACEM.NS,FY2022-23,1070583513088.0,27.699225,8659300352,,0.01205,mcap=current_proxy;bs=current_proxy+debt_current_proxy
Ambuja Cements,AMBUJACEM.NS,FY2023-24,1345746836985.25,27.92797,6990100000.0,651036800000.0,0.010737,mcap=2024-03-28;bs=2024-03-31
Angel One,ANGELONE.NS,FY2022-23,97004648876.77,25.298025,7878520000.0,74776710000.0,0.105361,mcap=2023-03-31;bs=2023-03-31
Angel One,ANGELONE.NS,FY2023-24,255804932460.0,26.267681,25411220000.0,132537330000.0,0.191729,mcap=2024-03-28;bs=2024-03-31
Apollo Hospitals,APOLLOHOSP.NS,FY2022-23,619841263819.83,27.152729,43324000000.0,144278000000.0,0.300281,mcap=2023-03-31;bs=2023-03-31
