company,year,dominant_topic,topic_label,dominant_topic_share,distinctive_topic,distinctive_topic_label,distinctive_topic_lift,n_passages,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share
ABB India,FY2022-23,0,"Workforce composition, wages & human rights",0.2021,7,Stakeholder engagement & community development,1.42,65,0.2021,0.0997,0.1233,0.0991,0.0816,0.1009,0.0925,0.2008
ABB India,FY2023-24,0,"Workforce composition, wages & human rights",0.2139,3,"Energy, water & emissions (assured metrics)",1.16,65,0.2139,0.1173,0.1309,0.1064,0.0744,0.1220,0.0975,0.1376
ACC Ltd,FY2022-23,0,"Workforce composition, wages & human rights",0.2262,4,Public policy advocacy & industry associations,1.75,27,0.2262,0.1044,0.1050,0.0756,0.1602,0.1131,0.1345,0.0810
ACC Ltd,FY2023-24,0,"Workforce composition, wages & human rights",0.1976,3,"Energy, water & emissions (assured metrics)",1.29,46,0.1976,0.1456,0.1353,0.1189,0.1089,0.0901,0.0876,0.1160
Adani Enterprises,FY2022-23,0,"Workforce composition, wages & human rights",0.3014,0,"Workforce composition, wages & human rights",1.46,39,0.3014,0.0671,0.1414,0.1023,0.0898,0.1059,0.0333,0.1588
Adani Enterprises,FY2023-24,0,"Workforce composition, wages & human rights",0.2103,5,Health & safety management systems,1.30,64,0.2103,0.1185,0.1366,0.0877,0.0843,0.1411,0.0693,0.1522
Adani Green Energy,FY2022-23,0,"Workforce composition, wages & human rights",0.2902,0,"Workforce composition, wages & human rights",1.41,39,0.2902,0.0701,0.1318,0.1121,0.0805,0.0820,0.0864,0.1469
Adani Green Energy,FY2023-24,0,"Workforce composition, wages & human rights",0.2161,2,"Waste, packaging & circularity",1.19,67,0.2161,0.1055,0.1538,0.1014,0.0841,0.1132,0.0841,0.1418
Adani Ports,FY2022-23,0,"Workforce composition, wages & human rights",0.2601,4,Public policy advocacy & industry associations,1.33,56,0.2601,0.0639,0.1243,0.0909,0.1221,0.0708,0.0894,0.1784
Adani Ports,FY2023-24,0,"Workforce composition, wages & human rights",0.2214,4,Public policy advocacy & industry associations,1.88,71,0.2214,0.0855,0.1135,0.0729,0.1723,0.0864,0.0908,0.1572
Alkem Laboratories,FY2022-23,0,"Workforce composition, wages & human rights",0.2433,0,"Workforce composition, wages & human rights",1.18,37,0.2433,0.0933,0.1249,0.1023,0.0626,0.1245,0.1098,0.1394
Alkem Laboratories,FY2023-24,0,"Workforce composition, wages & human rights",0.2435,3,"Energy, water & emissions (assured metrics)",1.48,47,0.2435,0.0944,0.1810,0.1362,0.0497,0.0610,0.1010,0.1332
Ambuja Cements,FY2022-23,0,"Workforce composition, wages & human rights",0.2069,4,Public policy advocacy & industry associations,1.79,30,0.2069,0.1138,0.0936,0.0667,0.1635,0.1063,0.1446,0.1047
Ambuja Cements,FY2023-24,0,"Workforce composition, wages & human rights",0.1965,3,"Energy, water & emissions (assured metrics)",1.23,48,0.1965,0.1560,0.1337,0.1130,0.1107,0.0821,0.0837,0.1243
Angel One,FY2022-23,0,"Workforce composition, wages & human rights",0.2464,0,"Workforce composition, wages & human rights",1.20,45,0.2464,0.1501,0.0816,0.0825,0.0843,0.0878,0.1132,0.1540
Angel One,FY2023-24,0,"Workforce composition, wages & human rights",0.2334,7,Stakeholder engagement & community development,1.28,67,0.2334,0.1388,0.0875,0.0992,0.0764,0.0855,0.0985,0.1808
Apollo Hospitals,FY2022-23,0,"Workforce composition, wages & human rights",0.2479,7,Stakeholder engagement & community development,1.39,29,0.2479,0.1008,0.1205,0.0839,0.0858,0.0789,0.0860,0.1963
Apollo Hospitals,FY2023-24,0,"Workforce composition, wages & human rights",0.1952,1,"Customers, product responsibility & data security",1.31,53,0.1952,0.1685,0.1095,0.1034,0.0917,0.1121,0.0971,0.1225
Apollo Tyres,FY2022-23,0,"Workforce composition, wages & human rights",0.2456,0,"Workforce composition, wages & human rights",1.19,40,0.2456,0.0949,0.0994,0.1020,0.0922,0.1157,0.0992,0.1510
Apollo Tyres,FY2023-24,0,"Workforce composition, wages & human rights",0.2199,3,"Energy, water & emissions (assured metrics)",1.22,55,0.2199,0.1372,0.1142,0.1118,0.0786,0.0972,0.1068,0.1343
Ashok Leyland,FY2022-23,0,"Workforce composition, wages & human rights",0.1783,4,Public policy advocacy & industry associations,1.37,53,0.1783,0.1376,0.1057,0.1153,0.1255,0.1029,0.1044,0.1303
Ashok Leyland,FY2023-24,0,"Workforce composition, wages & human rights",0.2005,3,"Energy, water & emissions (assured metrics)",1.25,68,0.2005,0.1161,0.1434,0.1149,0.1002,0.1062,0.0992,0.1195
Asian Paints,FY2022-23,0,"Workforce composition, wages & human rights",0.2287,5,Health & safety management systems,1.34,63,0.2287,0.1067,0.1470,0.0692,0.1095,0.1456,0.1061,0.0872
Asian Paints,FY2023-24,0,"Workforce composition, wages & human rights",0.2110,3,"Energy, water & emissions (assured metrics)",1.20,70,0.2110,0.1035,0.1411,0.1100,0.1086,0.1217,0.1156,0.0887
Aurobindo Pharma,FY2022-23,4,Public policy advocacy & industry associations,0.2375,4,Public policy advocacy & industry associations,2.60,87,0.1486,0.0828,0.1324,0.0541,0.2375,0.1396,0.0992,0.1057
Aurobindo Pharma,FY2023-24,0,"Workforce composition, wages & human rights",0.1865,5,Health & safety management systems,1.51,61,0.1865,0.0983,0.1106,0.0958,0.1177,0.1635,0.1013,0.1263
Axis Bank,FY2022-23,0,"Workforce composition, wages & human rights",0.2217,6,Business ethics & anti-corruption,1.42,53,0.2217,0.1640,0.1080,0.0895,0.0812,0.0901,0.1466,0.0989
Axis Bank,FY2023-24,0,"Workforce composition, wages & human rights",0.1986,6,Business ethics & anti-corruption,1.61,69,0.1986,0.1644,0.0922,0.1033,0.0652,0.1220,0.1671,0.0872
BSE Ltd,FY2022-23,0,"Workforce composition, wages & human rights",0.2349,1,"Customers, product responsibility & data security",1.63,47,0.2349,0.2090,0.1012,0.0743,0.0798,0.0926,0.1239,0.0843
BSE Ltd,FY2023-24,0,"Workforce composition, wages & human rights",0.2310,1,"Customers, product responsibility & data security",1.38,57,0.2310,0.1775,0.0919,0.0918,0.0866,0.0966,0.1036,0.1210
Bajaj Auto,FY2022-23,0,"Workforce composition, wages & human rights",0.2089,2,"Waste, packaging & circularity",1.31,54,0.2089,0.1532,0.1683,0.0954,0.0778,0.1030,0.0806,0.1129
